Word,Number of reported results,Number in hard mode,t1,t2,t3,t4,t5,t6,t7,mu,sigma,vowel,overlap,freq,initentropy,ratio,difficulty,mu_zscore,score_zscore,y1,y2,y3
manly,20380,1899,0,2,17,37,29,12,2,4.34,1.066711111,1,0,1260481,3.252854779,0.093179588,2,0.356369481,-0.682098322,0.2851007,-1.388943094,0.322563208
molar,21204,1973,0,4,21,38,26,9,1,4.14,1.0596,2,0,650262,3.573497852,0.093048481,2,-0.141834074,-0.824775064,1.255437956,-0.101674904,-0.459306279
havoc,20001,1919,0,2,16,38,30,12,2,4.4,1.050505051,2,0,1692191,2.912873417,0.095945203,2,0.505830547,-0.688213973,0.070134402,-0.121530246,-0.287414384
impel,20160,1937,0,3,21,40,25,9,1,4.15,1.005328283,2,0,86447,3.219457962,0.096081349,2,-0.116923896,-0.905848191,0.618072863,-0.119610533,-0.382034732
condo,20879,2012,0,2,17,35,29,14,3,4.45,1.179292929,2,1,6444848,2.750718906,0.096364768,2,0.630381436,-0.378124718,-1.527091473,0.745395892,-0.38036546
judge,20011,2043,0,2,8,16,26,33,14,5.18,1.514420202,2,0,30905832,2.611434594,0.102093848,4,2.44882441,2.585359938,-0.415890957,0.056220998,0.171264038
extra,15554,1562,1,5,20,35,28,10,1,4.18,1.24,2,0,59377307,3.157973401,0.100424328,2,-0.042193363,-0.327703439,0.620675027,0.263327978,0.41717801
poise,20281,1911,2,11,34,32,15,6,1,3.72,1.353519192,3,0,339263,3.683161327,0.094226123,1,-1.188061539,0.48728483,1.847168071,1.179034217,-1.186723406
aorta,21937,2112,0,7,26,35,20,10,3,4.13,1.417847475,3,1,641057,3.306795157,0.096275699,2,-0.166744252,-0.078234711,-0.14353499,2.008393368,-1.287298584
excel,20490,2034,0,1,13,34,34,15,2,4.51,0.996463636,2,1,14133468,2.613530793,0.099267936,2,0.779842502,-0.660456639,-1.758982579,0.789845568,-0.245801757
lunar,22180,2036,0,5,32,40,17,4,0,3.75,0.83459596,2,0,3611744,3.568170934,0.091794409,2,-1.113331005,-1.05080997,1.251513631,-0.082638678,-0.418847012
third,24137,2261,1,10,47,32,9,2,0,3.47,0.817685859,1,0,95489240,3.359729119,0.093673613,1,-1.810815982,-0.158520637,0.656929651,-0.7721066,1.543758357
slate,26010,2422,6,14,33,27,13,5,1,3.43,1.583283838,2,0,3813904,4.058914193,0.093118032,1,-1.910456693,2.132293875,2.133875622,-0.06154375,-0.533620654
taper,22166,2108,0,8,28,30,20,11,3,4.07,1.52030303,2,0,1294069,3.819007246,0.095100605,2,-0.316205318,0.071955979,1.697901855,-0.087593922,-0.509545063
chord,22336,2088,0,7,39,38,13,3,0,3.66,0.812525253,1,0,3123447,3.241334208,0.093481375,1,-1.337522605,-0.836827188,0.267949446,-1.377297361,0.349969945
probe,22853,2160,0,6,24,32,24,11,3,4.19,1.407979798,2,0,9643801,3.459810652,0.094517131,2,-0.017283185,-0.122412934,1.068272566,-0.047795407,-0.313101164
rival,22176,2127,0,7,27,35,22,8,1,4,1.191919192,2,0,4298220,3.289926638,0.095914502,2,-0.490576562,-0.559649018,0.752755389,-0.089391705,-0.343172424
usual,20824,2048,0,3,20,39,27,10,1,4.24,1.032727273,3,1,17044981,2.817575139,0.09834806,2,0.107267704,-0.860339958,-0.991481454,2.095306731,-0.953168682
spoke,24101,2224,0,6,31,38,19,5,0,3.82,0.930985859,2,0,11577917,3.237949418,0.092278329,2,-0.938959761,-0.930873337,0.673227415,-0.044165544,-0.234412655
apply,22873,2150,0,5,28,38,22,7,1,4.05,1.082348485,1,1,76341478,2.651893576,0.093997289,2,-0.366025673,-0.730199839,-1.966600804,-0.082538981,1.265169235
naive,21947,2075,1,7,24,32,24,11,1,4.08,1.387474747,3,0,1848489,3.448824938,0.094545952,2,-0.29129514,-0.088355369,1.428891726,1.179399261,-1.110671112
knock,21157,2041,0,3,18,43,27,8,1,4.22,0.941010101,1,1,5196013,2.368567685,0.096469254,2,0.057447348,-0.986343783,-2.611519097,-0.556436232,0.391626851
braid,23640,2165,0,10,36,35,14,3,0,3.56,0.901947475,2,0,981945,3.400396973,0.091582064,1,-1.586624382,-0.671490287,0.944969345,-0.10649614,-0.413489819
infer,21199,1863,0,3,19,33,26,14,3,4.3,1.272929293,2,0,1104540,3.306797672,0.087881504,2,0.25672877,-0.298109745,0.776984148,-0.109472003,-0.389466811
joust,24899,2388,0,6,29,34,21,8,2,4.02,1.252121212,2,0,160309,2.948994926,0.095907466,2,-0.440756207,-0.395923719,0.13213067,-0.130032177,-0.316328123
amber,23509,2261,0,6,22,33,24,12,3,4.23,1.411212121,2,0,11065507,3.370348625,0.096175933,2,0.082357526,-0.11347929,0.910201181,-0.04215971,-0.272879336
woken,23153,2200,0,2,10,25,36,23,4,4.8,1.191919192,2,0,364304,2.991632948,0.095020084,3,1.502237657,0.155794405,0.209149957,-0.126987473,-0.323833457
adore,25577,2398,2,17,32,29,15,5,1,3.6,1.444040404,3,0,1176240,3.767655024,0.093756109,1,-1.486983671,0.852830558,2.00061893,1.187880696,-1.195870764
torso,23873,2260,0,4,35,36,17,6,1,3.85,1.009368687,2,1,1769562,3.22230541,0.094667616,2,-0.864229228,-0.767196496,-0.688462755,0.734013096,-0.555089526
chafe,24646,2343,0,6,30,33,19,9,2,3.97,1.284334343,2,0,118832,3.330665968,0.095066136,2,-0.565307095,-0.35147364,0.818000515,-0.114917462,-0.408221399
eject,22628,2200,0,2,11,35,36,14,2,4.55,0.997474747,2,1,935010,2.599565197,0.097224677,2,0.879483213,-0.648501075,-1.809259407,0.703486829,-0.417092743
undue,23739,2316,0,3,19,35,29,13,2,4.4,1.185454545,3,1,1377567,2.747275081,0.097560976,2,0.505830547,-0.516120498,-1.14771382,1.990627966,-1.143644874
tepid,26051,2484,0,10,38,35,13,3,0,3.57,0.886516162,2,0,220695,3.367484337,0.095351426,1,-1.561714205,-0.636827124,0.884365746,-0.112771239,-0.415685273
happy,25206,2356,0,6,28,39,19,6,1,3.9,1.048383838,1,1,63471922,2.484327897,0.093469809,2,-0.739678339,-0.731209535,-2.292304216,-0.172950998,1.13499083
itchy,24197,2329,0,8,28,40,18,5,1,3.87,1.063737374,1,0,1181967,2.861315967,0.096251601,2,-0.814408873,-0.628714242,-0.418732651,-1.405235552,0.415230473
feast,27705,2725,5,13,25,27,19,10,2,3.83,1.967463636,2,0,4166016,3.661933687,0.098357697,1,-0.914049583,2.020590251,1.421083786,-0.075256291,-0.433953279
drive,26663,2451,1,12,32,30,18,6,1,3.74,1.345858586,2,0,107799371,3.348463494,0.09192514,1,-1.138241183,0.163204529,1.055399076,0.585771059,1.012277437
prime,27437,2534,1,10,26,32,21,9,1,3.93,1.419292929,2,0,38308402,3.521667328,0.092357036,1,-0.664947806,0.061082846,1.234123826,0.141030489,0.051366018
axiom,24288,2382,0,5,19,33,27,13,3,4.33,1.354646465,3,0,1495473,2.753608441,0.098073123,2,0.331459303,-0.177062619,0.178757422,1.149081829,-0.948957373
brave,24991,2396,1,6,17,27,27,18,5,4.5,1.75,2,0,5221356,3.393143618,0.095874515,3,0.754932325,0.886119249,0.940020569,-0.07923046,-0.355660784
avert,24749,2400,0,7,26,35,22,9,1,4.03,1.221313131,2,0,767435,3.525821875,0.096973615,2,-0.415846029,-0.532692617,1.169976988,-0.102834944,-0.446345737
glyph,29208,2899,0,2,23,49,20,5,1,4.06,0.804444444,0,0,632257,2.722954887,0.099253629,2,-0.341115496,-1.152108964,-1.063680732,-2.692696401,1.138127397
there,27465,2530,0,14,35,33,14,4,0,3.59,1.052424242,2,1,701170205,3.389348314,0.09211724,1,-1.511893849,-0.336295533,0.945934159,5.287159832,8.658943129
baker,25576,2541,0,5,16,23,24,22,10,4.72,1.88040404,2,0,14862470,3.326162011,0.099350954,3,1.302956235,1.615017733,0.838030989,-0.019258837,-0.212065327
snarl,27475,2650,0,5,21,31,24,15,4,4.35,1.502525253,1,0,184639,3.732453756,0.096451319,3,0.381279659,0.137759938,1.144995973,-1.376604947,0.193547018
maple,26536,2467,1,6,26,36,21,8,1,3.95,1.223712121,2,0,9704551,3.53866317,0.092968043,2,-0.615127451,-0.286872287,1.210104217,-0.044222131,-0.331168958
inane,25085,2515,0,8,25,30,21,13,3,4.15,1.563131313,3,1,319343,3.270438328,0.100259119,2,-0.116923896,0.114490751,-0.209490118,2.00483662,-1.282854094
valet,24660,2356,0,4,22,38,25,9,1,4.12,1.066521212,2,0,2052690,3.571094079,0.095539335,2,-0.191654429,-0.813397036,1.253793116,-0.092655393,-0.440174982
medal,25993,2438,0,5,25,38,23,8,1,4.07,1.096060606,2,0,7747036,3.44187763,0.093794483,2,-0.316205318,-0.737906601,1.032424595,-0.06084806,-0.333906045
unite,27467,2575,1,11,31,33,18,5,1,3.75,1.26010101,3,0,2888724,3.580864274,0.093748862,1,-1.113331005,0.025774217,1.668180564,1.191483469,-1.128508084
rainy,28984,2678,1,16,38,31,11,3,1,3.51,1.164748485,2,0,2469088,3.581956315,0.092395805,1,-1.711175271,0.39286648,1.27410933,-0.089510789,-0.437265111
spell,27213,2531,0,4,24,37,24,9,1,4.09,1.085473737,1,1,8506049,3.034647106,0.093007019,2,-0.266384962,-0.783996251,-1.408109854,-0.508071314,0.276011774
begin,26096,2439,0,6,26,36,23,7,1,3.98,1.112319192,2,0,45434902,3.14814095,0.0934626,2,-0.540396917,-0.695696981,0.576407235,0.172299853,0.235054428
stale,31068,3013,2,19,30,27,15,6,2,3.63,1.661483838,2,0,1065657,3.977675468,0.096980816,1,-1.412253138,1.219373915,1.982628725,-0.082683129,-0.550540973
dream,29743,2751,5,14,31,29,15,4,1,3.48,1.503531313,2,0,33518573,3.511251118,0.092492351,1,-1.785905804,1.687423668,1.206266425,0.109474627,-0.00951697
photo,27330,2565,0,5,34,43,15,3,0,3.77,0.764747475,2,1,227125249,2.71925651,0.093852909,2,-1.06351065,-1.062508313,-1.162664525,2.178647948,2.547062715
aloud,29554,2819,1,18,31,30,15,4,1,3.56,1.33979798,3,0,3743858,3.361884949,0.095384719,1,-1.586624382,0.481859674,1.276256576,1.188215635,-1.064785678
inept,27670,2640,0,6,30,39,20,6,1,4.01,1.082325253,2,0,458533,3.382051151,0.095410192,2,-0.465666384,-0.672732161,0.910999298,-0.11063803,-0.416024599
piney,27502,3667,0,1,14,37,33,14,2,4.55,1.004570707,2,0,394672,3.357828262,0.133335757,2,0.879483213,-0.68353301,0.86734348,-0.112029527,-0.411072356
aptly,26498,2572,0,3,26,41,23,7,1,4.12,0.98519596,1,0,598371,3.27527848,0.097063929,2,-0.191654429,-0.908457423,0.324138101,-1.392343252,0.308435988
waltz,24672,2496,0,2,11,29,35,19,3,4.63,1.130031313,1,0,1723021,2.766673224,0.101167315,3,1.078764635,-0.226759485,-0.587794893,-1.405533306,0.445039982
libel,25156,2536,0,3,15,32,32,16,2,4.49,1.181717172,2,1,866830,3.022944083,0.10081094,2,0.730022147,-0.438602248,-1.048482095,0.720109115,-0.519321181
sneak,27905,2636,0,7,28,36,21,7,1,3.96,1.14989899,2,0,2280877,3.398102816,0.094463358,2,-0.590217273,-0.593250146,0.943324082,-0.09814498,-0.395754148
carry,27609,2615,0,4,22,35,24,12,3,4.27,1.31020202,1,1,33056477,3.075893416,0.094715491,2,0.181998237,-0.262336089,-1.287148306,-0.346820121,0.59097555
flout,30063,2904,0,6,28,37,21,7,1,3.98,1.110707071,2,0,72396,3.203892463,0.096597146,2,-0.540396917,-0.667678545,0.590071344,-0.120329282,-0.378495389
foggy,28953,2817,0,2,13,35,32,15,3,4.54,1.11959596,1,1,704386,2.194586229,0.097295617,3,0.854573036,-0.385302403,-2.932771292,-0.59264661,0.373835182
fault,28947,2768,0,7,27,35,22,8,1,4,1.191919192,2,0,13112664,3.35038575,0.095623035,2,-0.490576562,-0.559649018,0.878228567,-0.029656944,-0.241015026
mummy,29279,3021,0,1,4,14,27,37,18,5.53,1.267584848,1,3,1878933,1.718734378,0.103179753,4,3.320680631,3.470938277,-5.100607692,0.238375769,0.308617386
spiel,29084,2810,0,7,32,36,19,6,1,3.92,1.118448485,2,0,811922,3.653878922,0.096616696,2,-0.689857984,-0.574165355,1.400209256,-0.097384056,-0.476404722
grove,28637,2794,0,4,18,30,28,17,3,4.45,1.381313131,2,0,15189493,3.263932001,0.097566086,3,0.630381436,-0.08295242,0.726813454,-0.0196414,-0.192845004
denim,28741,2769,0,5,29,40,20,5,0,3.87,0.892253535,2,0,4737554,3.243382074,0.096343203,2,-0.814408873,-1.034702521,0.669942383,-0.088411951,-0.326220038
quirk,28322,2794,0,3,23,39,24,9,2,4.19,1.104949495,2,0,444069,2.577590099,0.098651225,2,-0.017283185,-0.662432115,-0.534826291,-0.143158136,-0.223686107
exist,28612,2805,0,5,24,38,23,8,1,4.04,1.086044444,2,0,25349128,3.131156903,0.098035789,2,-0.390935851,-0.761191736,0.507567262,0.041048845,-0.026642607
stein,31269,2965,1,12,34,32,16,5,1,3.72,1.272711111,2,0,3893544,3.656975615,0.094822348,1,-1.188061539,0.146243808,1.411653243,-0.077227329,-0.436371846
spade,30459,2854,1,8,29,36,19,6,1,3.86,1.212525253,2,0,1567565,3.566234499,0.093699728,1,-0.83931905,-0.181932609,1.244133927,-0.096004799,-0.445430805
catch,30403,3123,0,7,18,20,15,16,23,4.8,2.635959596,1,1,20400979,2.85018539,0.102720126,4,1.502237657,4.17876805,-1.716938292,-0.438184259,0.477544498
floor,28906,2752,0,3,23,44,24,6,0,4.07,0.833434343,2,1,53759851,2.878676544,0.095205148,2,-0.316205318,-1.214875411,-1.206864193,1.058122039,0.215051815
equal,27197,2677,0,5,23,35,25,11,2,4.24,1.274925253,3,0,34832354,2.970910794,0.098429974,2,0.107267704,-0.411709897,0.632892518,1.374545291,-0.559872113
ionic,29151,2947,0,2,13,25,28,21,11,4.86,1.596363636,3,1,1808092,2.761569414,0.101094302,3,1.651698723,1.528016933,-1.121202406,1.994002743,-1.14136948
valid,28575,2752,0,4,28,38,21,8,1,4.04,1.069090909,2,0,57094711,3.10779195,0.096307962,2,-0.390935851,-0.771556188,0.526133338,0.246467389,0.398986011
enjoy,26878,2654,0,3,12,29,33,20,3,4.64,1.242828283,2,0,50141455,2.706248261,0.098742466,3,1.103674813,-0.097356249,-0.208795354,0.185082792,0.403085643
howdy,28408,2668,0,2,13,32,32,17,4,4.61,1.21,1,0,726642,2.617042371,0.093917206,3,1.02894428,-0.086591177,-0.858615994,-1.418041506,0.467667367
vigor,26905,2642,0,2,15,35,31,14,2,4.42,1.079026263,2,0,977544,3.01328983,0.098197361,2,0.555650903,-0.614896066,0.249242083,-0.122128199,-0.320902561
dandy,29026,2840,0,2,11,23,29,24,11,4.95,1.542929293,1,1,1098188,2.705348202,0.097843313,3,1.875890323,1.633553618,-2.014065578,-0.569499013,0.256806188
sloth,32522,2987,1,10,38,34,13,3,0,3.54,0.952610101,1,0,519428,3.494382794,0.09184552,1,-1.636444738,-0.259692132,0.717767392,-1.384024795,0.254953719
march,30935,2885,0,9,30,35,19,6,1,3.86,1.172121212,1,0,158281269,3.285069285,0.093260061,2,-0.83931905,-0.466616446,0.642531741,-0.366940009,2.392449479
bough,32014,3060,0,3,17,35,28,13,3,4.36,1.212428283,2,0,520067,2.797176005,0.095583182,2,0.406189836,-0.36058258,-0.140035904,-0.133813083,-0.275233556
sting,32288,2969,1,10,30,33,18,8,2,3.95,1.474292929,1,0,2773263,3.207413063,0.091953667,1,-0.615127451,0.287538201,0.206317481,-1.380940999,0.353454812
twine,30088,2775,0,6,28,40,20,5,1,3.93,1.015252525,2,0,415457,3.455387951,0.09222946,2,-0.664947806,-0.764281586,1.0427199,-0.107961995,-0.434146085
leave,28202,2696,0,4,16,34,31,12,1,4.26,1.100452525,3,1,70957750,3.184901997,0.095596057,2,0.157088059,-0.751990116,-0.228467725,2.460569732,-0.327741795
scorn,31223,2859,0,8,31,35,20,6,1,3.92,1.158852525,1,0,622924,3.47749024,0.091567114,2,-0.689857984,-0.511114984,0.687605091,-1.384032928,0.260365967
scald,30477,2829,0,4,23,36,24,11,2,4.21,1.218080808,1,0,101839,3.402227815,0.092824097,2,0.03253717,-0.498045403,0.551347507,-1.390453876,0.271483701
usurp,31355,3007,0,3,21,38,26,9,1,4.12,1.016274747,2,1,171456,2.568004925,0.09590177,2,-0.191654429,-0.904465842,-1.867436899,0.697251264,-0.419642339
soggy,30985,2888,0,2,18,38,28,11,2,4.3,1.055656566,1,1,331525,2.576749037,0.09320639,2,0.25672877,-0.71569945,-2.246649783,-0.579666216,0.277439557
brisk,31706,2884,0,5,23,38,24,7,1,4,1.050505051,1,0,774000,3.068819017,0.090960701,2,-0.490576562,-0.822811299,-0.046581099,-1.399523519,0.360171279
admit,28994,2677,0,10,25,34,22,8,1,3.96,1.291313131,2,0,8780656,3.198150091,0.092329447,2,-0.590217273,-0.372409332,0.596362965,-0.063953202,-0.261899094
grate,32777,3077,1,14,29,28,16,8,3,3.77,1.671687879,2,0,672155,3.884454434,0.093876804,1,-1.06351065,0.746905366,1.814338848,-0.088998604,-0.533437151
glory,31509,2893,0,6,30,39,19,5,0,3.83,0.923647475,1,0,13158826,3.277932753,0.091815037,2,-0.914049583,-0.948896093,0.352868869,-1.310587749,0.473992451
saint,34455,3119,1,14,35,29,15,5,1,3.62,1.308686869,2,0,38929141,3.816971175,0.090523872,1,-1.437163316,0.301216257,1.766035588,0.156968626,-0.011095182
recap,31976,2900,0,5,30,35,21,8,1,4,1.131313131,2,0,2861982,3.555334995,0.09069302,2,-0.490576562,-0.661082276,1.227014301,-0.088029851,-0.425695374
alike,31277,2843,0,6,20,33,27,12,2,4.25,1.320707071,3,0,6220739,3.589669815,0.090897465,2,0.132177881,-0.338343533,1.690362289,1.213497973,-1.086528457
trice,35050,3430,0,5,24,25,18,17,11,4.51,2.05040404,2,0,354532,3.905355201,0.0978602,3,0.779842502,1.703188547,1.851296341,-0.090220829,-0.542641864
stick,33102,3038,1,9,36,35,14,4,0,3.61,0.997554545,1,0,22399126,3.070982972,0.091776932,1,-1.462073494,-0.318542159,-0.001439694,-1.258863409,0.645782871
chute,33418,3073,0,11,37,36,12,3,0,3.55,0.890378788,2,0,834005,3.414290453,0.091956431,1,-1.61153456,-0.587066208,0.969656851,-0.106897799,-0.41877236
parer,37309,4130,0,0,4,11,15,22,48,5.99,1.444343434,2,1,38034,3.344389736,0.110697151,4,4.466548807,8.899410817,-0.472352757,0.727678353,-0.607218138
doubt,33344,3011,1,12,32,34,16,4,0,3.61,1.098564646,2,0,20311261,3.075763213,0.090301104,1,-1.462073494,-0.15405853,0.398402022,0.006067681,-0.080043112
thyme,32142,2938,1,5,24,41,23,5,0,3.92,0.969632323,1,0,1007823,3.154293399,0.091406882,2,-0.689857984,-0.727747126,0.107481692,-1.394558279,0.342808678
alpha,29497,2706,0,3,19,40,28,9,1,4.24,0.992323232,2,1,27832836,2.716045459,0.091738143,2,0.107267704,-0.916697143,-1.548607556,0.883029665,-0.08907531
booze,29147,2883,0,1,7,27,38,23,4,4.87,1.023333333,3,1,1178694,2.474003854,0.09891241,3,1.676608901,0.040587192,-1.639223239,1.978320232,-1.080874837
tibia,27887,2675,0,1,14,40,30,12,2,4.4,0.955959596,3,1,620778,2.802737653,0.095922831,2,0.505830547,-0.803950262,-1.049478724,1.987944079,-1.166931943
lofty,29237,2777,0,4,19,34,27,13,3,4.35,1.300505051,1,0,1018661,3.044038313,0.094982385,2,0.381279659,-0.251491018,-0.090650897,-1.398931971,0.369339184
theme,32172,2909,0,8,29,40,18,4,0,3.77,0.924213131,2,1,37219937,3.035304206,0.090420241,2,-1.06351065,-0.869685934,-0.956920643,0.956918603,-0.04127883
class,31962,3001,0,4,21,32,22,13,7,4.36,1.596266667,1,1,191087771,3.062842895,0.093892748,3,0.406189836,0.581080131,-1.009141078,0.679927166,2.685065352
leery,30992,2873,0,3,17,37,28,12,2,4.31,1.119332323,2,1,168700,3.232631546,0.092701342,2,0.281638948,-0.61431465,-0.672958177,0.724023009,-0.578742413
taunt,32734,3022,0,4,19,27,21,16,13,4.65,1.967171717,2,1,295148,3.144209641,0.092319912,3,1.128584991,1.931107219,-0.831631076,0.721280881,-0.555907518
whoop,32733,2970,0,1,16,47,29,7,1,4.32,0.792145455,2,1,331753,2.330985218,0.090734122,2,0.306549125,-1.197673418,-2.293109,0.688739514,-0.360795996
inter,32018,2889,0,6,25,36,23,8,1,4.01,1.14050404,2,0,15269346,3.676165584,0.090230495,2,-0.465666384,-0.66874058,1.46784253,-0.002506077,-0.290447386
gully,31191,2877,0,1,9,27,31,25,7,4.91,1.254444444,1,1,800734,2.510704938,0.092238146,3,1.776249612,0.746336665,-2.364450862,-0.579278245,0.29945401
