Word,Number of reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),mu,sigma,vowel,overlap,freq,initentropy,ratio,y1,y2,y3
manly,20380,1899,0,2,17,37,29,12,2,4.34,1.066711111,1,0,1260481,3.252854779,0.093179588,0.040992944,-0.180033999,-1.277039468
molar,21204,1973,0,4,21,38,26,9,1,4.14,1.0596,2,0,650262,3.573497852,0.093048481,0.961900702,0.952186007,-0.376164736
havoc,20001,1919,0,2,16,38,30,12,2,4.4,1.050505051,2,0,1692191,2.912873417,0.095945203,-0.245781893,0.782667523,-0.323822865
impel,20160,1937,0,3,21,40,25,9,1,4.15,1.005328283,2,0,86447,3.219457962,0.096081349,0.300139041,0.909321423,-0.366102612
condo,20879,2012,0,2,17,35,29,14,3,4.45,1.179292929,2,1,6444848,2.750718906,0.096364768,-1.766991812,0.857289138,0.436089362
judge,20011,2043,0,2,8,16,26,33,14,5.18,1.514420202,2,0,30905832,2.611434594,0.102093848,-0.786533041,0.709547913,-0.093729888
extra,15554,1562,1,5,20,35,28,10,1,4.18,1.24,2,0,59377307,3.157973401,0.100424328,0.258697934,0.732944401,0.098453364
poise,20281,1911,2,11,34,32,15,6,1,3.72,1.353519192,3,0,339263,3.683161327,0.094226123,1.493807782,2.041493337,0.538867852
aorta,21937,2112,0,7,26,35,20,10,3,4.13,1.417847475,3,1,641057,3.306795157,0.096275699,-0.433386294,2.103573933,1.272489979
excel,20490,2034,0,1,13,34,34,15,2,4.51,0.996463636,2,1,14133468,2.613530793,0.099267936,-2.023972431,0.853379512,0.494344631
lunar,22180,2036,0,5,32,40,17,4,0,3.75,0.83459596,2,0,3611744,3.568170934,0.091794409,0.968248513,0.90009118,-0.343994482
third,24137,2261,1,10,47,32,9,2,0,3.47,0.817685859,1,0,95489240,3.359729119,0.093673613,0.396412039,-0.568351525,-0.519498649
slate,26010,2422,6,14,33,27,13,5,1,3.43,1.583283838,2,0,3813904,4.058914193,0.093118032,1.837663479,1.121696227,-0.395587846
taper,22166,2108,0,8,28,30,20,11,3,4.07,1.52030303,2,0,1294069,3.819007246,0.095100605,1.386041825,1.10060022,-0.405814649
chord,22336,2088,0,7,39,38,13,3,0,3.66,0.812525253,1,0,3123447,3.241334208,0.093481375,0.021090287,-0.184408696,-1.262540657
probe,22853,2160,0,6,24,32,24,11,3,4.19,1.407979798,2,0,9643801,3.459810652,0.094517131,0.761555046,0.909589348,-0.300872947
rival,22176,2127,0,7,27,35,22,8,1,4,1.191919192,2,0,4298220,3.289926638,0.095914502,0.435460548,0.911194094,-0.337190457
usual,20824,2048,0,3,20,39,27,10,1,4.24,1.032727273,3,1,17044981,2.817575139,0.09834806,-1.299254928,1.902492127,1.439485893
spoke,24101,2224,0,6,31,38,19,5,0,3.82,0.930985859,2,0,11577917,3.237949418,0.092278329,0.386007975,0.752561973,-0.251222042
apply,22873,2150,0,5,28,38,22,7,1,4.05,1.082348485,1,1,76341478,2.651893576,0.093997289,-2.145386568,-0.589211891,0.096032187
naive,21947,2075,1,7,24,32,24,11,1,4.08,1.387474747,3,0,1848489,3.448824938,0.094545952,1.073446313,1.955590731,0.570964961
knock,21157,2041,0,3,18,43,27,8,1,4.22,0.941010101,1,1,5196013,2.368567685,0.096469254,-2.80131669,-0.290072543,-0.474139487
braid,23640,2165,0,10,36,35,14,3,0,3.56,0.901947475,2,0,981945,3.400396973,0.091582064,0.664417564,0.843289347,-0.348720534
infer,21199,1863,0,3,19,33,26,14,3,4.3,1.272929293,2,0,1104540,3.306797672,0.087881504,0.528098277,0.700789291,-0.3170336
joust,24899,2388,0,6,29,34,21,8,2,4.02,1.252121212,2,0,160309,2.948994926,0.095907466,-0.183398768,0.802346792,-0.339461173
amber,23509,2261,0,6,22,33,24,12,3,4.23,1.411212121,2,0,11065507,3.370348625,0.096175933,0.589560357,0.917155018,-0.290855799
woken,23153,2200,0,2,10,25,36,23,4,4.8,1.191919192,2,0,364304,2.991632948,0.095020084,-0.099034334,0.791806611,-0.336451775
adore,25577,2398,2,17,32,29,15,5,1,3.6,1.444040404,3,0,1176240,3.767655024,0.093756109,1.650842173,2.05574494,0.540698015
torso,23873,2260,0,4,35,36,17,6,1,3.85,1.009368687,2,1,1769562,3.22230541,0.094667616,-0.915034121,1.007465235,0.364376462
chafe,24646,2343,0,6,30,33,19,9,2,3.97,1.284334343,2,0,118832,3.330665968,0.095066136,0.50827818,0.921660951,-0.370073927
eject,22628,2200,0,2,11,35,36,14,2,4.55,0.997474747,2,1,935010,2.599565197,0.097224677,-2.055227452,0.851196948,0.399897396
undue,23739,2316,0,3,19,35,29,13,2,4.4,1.185454545,3,1,1377567,2.747275081,0.097560976,-1.446603018,1.926985219,1.322582645
tepid,26051,2484,0,10,38,35,13,3,0,3.57,0.886516162,2,0,220695,3.367484337,0.095351426,0.572085247,0.943245259,-0.374343277
happy,25206,2356,0,6,28,39,19,6,1,3.9,1.048383838,1,1,63471922,2.484327897,0.093469809,-2.464419161,-0.60691677,0.009448556
itchy,24197,2329,0,8,28,40,18,5,1,3.87,1.063737374,1,0,1181967,2.861315967,0.096251601,-0.687499332,-0.238137488,-1.25977635
feast,27705,2725,5,13,25,27,19,10,2,3.83,1.967463636,2,0,4166016,3.661933687,0.098357697,1.081810329,1.122060835,-0.387206715
drive,26663,2451,1,12,32,30,18,6,1,3.74,1.345858586,2,0,107799371,3.348463494,0.09192514,0.75868517,0.331807718,0.527317547
prime,27437,2534,1,10,26,32,21,9,1,3.93,1.419292929,2,0,38308402,3.521667328,0.092357036,0.941888872,0.735833758,-0.059384733
axiom,24288,2382,0,5,19,33,27,13,3,4.33,1.354646465,3,0,1495473,2.753608441,0.098073123,-0.204113284,1.797818372,0.611346806
brave,24991,2396,1,6,17,27,27,18,5,4.5,1.75,2,0,5221356,3.393143618,0.095874515,0.622589585,0.94448118,-0.338946996
avert,24749,2400,0,7,26,35,22,9,1,4.03,1.221313131,2,0,767435,3.525821875,0.096973615,0.843331955,1.04696222,-0.394168642
glyph,29208,2899,0,2,23,49,20,5,1,4.06,0.804444444,0,0,632257,2.722954887,0.099253629,-1.307831898,-1.213600858,-2.204077311
there,27465,2530,0,14,35,33,14,4,0,3.59,1.052424242,2,1,701170205,3.389348314,0.09211724,0.65242017,-2.289400375,6.082028943
baker,25576,2541,0,5,16,23,24,22,10,4.72,1.88040404,2,0,14862470,3.326162011,0.099350954,0.490163327,0.974312725,-0.274632396
snarl,27475,2650,0,5,21,31,24,15,4,4.35,1.502525253,1,0,184639,3.732453756,0.096451319,0.871633805,0.099590752,-1.349649344
maple,26536,2467,1,6,26,36,21,8,1,3.95,1.223712121,2,0,9704551,3.53866317,0.092968043,0.916230782,0.894237821,-0.298442794
inane,25085,2515,0,8,25,30,21,13,3,4.15,1.563131313,3,1,319343,3.270438328,0.100259119,-0.532927225,2.206346254,1.249504586
valet,24660,2356,0,4,22,38,25,9,1,4.12,1.066521212,2,0,2052690,3.571094079,0.095539335,0.938982094,1.016553769,-0.379306899
medal,25993,2438,0,5,25,38,23,8,1,4.07,1.096060606,2,0,7747036,3.44187763,0.093794483,0.732131205,0.890915684,-0.310419621
unite,27467,2575,1,11,31,33,18,5,1,3.75,1.26010101,3,0,2888724,3.580864274,0.093748862,1.318899223,1.977313941,0.572008919
rainy,28984,2678,1,16,38,31,11,3,1,3.51,1.164748485,2,0,2469088,3.581956315,0.092395805,0.985844207,0.927988874,-0.358191102
spell,27213,2531,0,4,24,37,24,9,1,4.09,1.085473737,1,1,8506049,3.034647106,0.093007019,-1.571303014,-0.155266599,-0.488039484
begin,26096,2439,0,6,26,36,23,7,1,3.98,1.112319192,2,0,45434902,3.14814095,0.0934626,0.275206763,0.593914439,0.026825133
stale,31068,3013,2,19,30,27,15,6,2,3.63,1.661483838,2,0,1065657,3.977675468,0.096980816,1.654314215,1.215527185,-0.433543985
dream,29743,2751,5,14,31,29,15,4,1,3.48,1.503531313,2,0,33518573,3.511251118,0.092492351,0.913523595,0.758328637,-0.098386432
photo,27330,2565,0,5,34,43,15,3,0,3.77,0.764747475,2,1,227125249,2.71925651,0.093852909,-1.408929371,-0.263835953,2.258112793
aloud,29554,2819,1,18,31,30,15,4,1,3.56,1.33979798,3,0,3743858,3.361884949,0.095384719,0.913767906,1.938220842,0.589503627
inept,27670,2640,0,6,30,39,20,6,1,4.01,1.082325253,2,0,458533,3.382051151,0.095410192,0.598140299,0.949295833,-0.374095318
piney,27502,3667,0,1,14,37,33,14,2,4.55,1.004570707,2,0,394672,3.357828262,0.133335757,0.233222444,2.034630326,-0.598176324
aptly,26498,2572,0,3,26,41,23,7,1,4.12,0.98519596,1,0,598371,3.27527848,0.097063929,0.047122523,-0.056437301,-1.307651691
waltz,24672,2496,0,2,11,29,35,19,3,4.63,1.130031313,1,0,1723021,2.766673224,0.101167315,-0.897952852,-0.134420157,-1.275870741
libel,25156,2536,0,3,15,32,32,16,2,4.49,1.181717172,2,1,866830,3.022944083,0.10081094,-1.326300961,1.114039914,0.338850105
sneak,27905,2636,0,7,28,36,21,7,1,3.96,1.14989899,2,0,2280877,3.398102816,0.094463358,0.638202857,0.919448566,-0.355043525
carry,27609,2615,0,4,22,35,24,12,3,4.27,1.31020202,1,1,33056477,3.075893416,0.094715491,-1.468049243,-0.205829094,-0.301313539
flout,30063,2904,0,6,28,37,21,7,1,3.98,1.110707071,2,0,72396,3.203892463,0.096597146,0.26782291,0.918420088,-0.367849479
foggy,28953,2817,0,2,13,35,32,15,3,4.54,1.11959596,1,1,704386,2.194586229,0.097295617,-3.128401055,-0.310492687,-0.499697145
fault,28947,2768,0,7,27,35,22,8,1,4,1.191919192,2,0,13112664,3.35038575,0.095623035,0.562084517,0.884085943,-0.268982162
mummy,29279,3021,0,1,4,14,27,37,18,5.53,1.267584848,1,3,1878933,1.718734378,0.103179753,-6.500242463,-0.033495968,0.935992079
spiel,29084,2810,0,7,32,36,19,6,1,3.92,1.118448485,2,0,811922,3.653878922,0.096616696,1.076137692,1.084566435,-0.403517886
grove,28637,2794,0,4,18,30,28,17,3,4.45,1.381313131,2,0,15189493,3.263932001,0.097566086,0.394244715,0.897904242,-0.255579526
denim,28741,2769,0,5,29,40,20,5,0,3.87,0.892253535,2,0,4737554,3.243382074,0.096343203,0.349121596,0.90401128,-0.331848366
quirk,28322,2794,0,3,23,39,24,9,2,4.19,1.104949495,2,0,444069,2.577590099,0.098651225,-0.872348829,0.740635433,-0.319143213
exist,28612,2805,0,5,24,38,23,8,1,4.04,1.086044444,2,0,25349128,3.131156903,0.098035789,0.170202312,0.813838478,-0.163042399
stein,31269,2965,1,12,34,32,16,5,1,3.72,1.272711111,2,0,3893544,3.656975615,0.094822348,1.102387329,1.01948513,-0.367927484
spade,30459,2854,1,8,29,36,19,6,1,3.86,1.212525253,2,0,1567565,3.566234499,0.093699728,0.944988341,0.963935554,-0.371871275
catch,30403,3123,0,7,18,20,15,16,23,4.8,2.635959596,1,1,20400979,2.85018539,0.102720126,-1.963288273,-0.000235858,-0.431570128
floor,28906,2752,0,3,23,44,24,6,0,4.07,0.833434343,2,1,53759851,2.878676544,0.095205148,-1.443334975,0.649603922,0.817985778
equal,27197,2677,0,5,23,35,25,11,2,4.24,1.274925253,3,0,34832354,2.970910794,0.098429974,0.242049442,1.733123285,0.861677973
ionic,29151,2947,0,2,13,25,28,21,11,4.86,1.596363636,3,1,1808092,2.761569414,0.101094302,-1.450134345,2.032267542,1.303744542
valid,28575,2752,0,4,28,38,21,8,1,4.04,1.069090909,2,0,57094711,3.10779195,0.096307962,0.199496978,0.606060817,0.108938724
enjoy,26878,2654,0,3,12,29,33,20,3,4.64,1.242828283,2,0,50141455,2.706248261,0.098742466,-0.55378934,0.558106831,0.074718207
howdy,28408,2668,0,2,13,32,32,17,4,4.61,1.21,1,0,726642,2.617042371,0.093917206,-1.106696138,-0.395116365,-1.227019191
vigor,26905,2642,0,2,15,35,31,14,2,4.42,1.079026263,2,0,977544,3.01328983,0.098197361,-0.086016625,0.888724684,-0.3523569
dandy,29026,2840,0,2,11,23,29,24,11,4.95,1.542929293,1,1,1098188,2.705348202,0.097843313,-2.216161416,-0.10465228,-0.546954684
sloth,32522,2987,1,10,38,34,13,3,0,3.54,0.952610101,1,0,519428,3.494382794,0.09184552,0.484217077,-0.124299031,-1.297482741
march,30935,2885,0,9,30,35,19,6,1,3.86,1.172121212,1,0,158281269,3.285069285,0.093260061,0.377879742,-0.903351905,0.00321794
bough,32014,3060,0,3,17,35,28,13,3,4.36,1.212428283,2,0,520067,2.797176005,0.095583182,-0.452335016,0.734263718,-0.320554745
sting,32288,2969,1,10,30,33,18,8,2,3.95,1.474292929,1,0,2773263,3.207413063,0.091953667,-0.027434985,-0.239581011,-1.253172261
twine,30088,2775,0,6,28,40,20,5,1,3.93,1.015252525,2,0,415457,3.455387951,0.09222946,0.756562614,0.885287735,-0.362289752
leave,28202,2696,0,4,16,34,31,12,1,4.26,1.100452525,3,1,70957750,3.184901997,0.095596057,-0.520981009,1.707798055,1.862674632
scorn,31223,2859,0,8,31,35,20,6,1,3.92,1.158852525,1,0,622924,3.47749024,0.091567114,0.456459503,-0.139163597,-1.293417471
scald,30477,2829,0,4,23,36,24,11,2,4.21,1.218080808,1,0,101839,3.402227815,0.092824097,0.309878345,-0.128727563,-1.298203833
usurp,31355,3007,0,3,21,38,26,9,1,4.12,1.016274747,2,1,171456,2.568004925,0.09590177,-2.101989804,0.804762177,0.404448736
soggy,30985,2888,0,2,18,38,28,11,2,4.3,1.055656566,1,1,331525,2.576749037,0.09320639,-2.408912101,-0.28313712,-0.513727504
brisk,31706,2884,0,5,23,38,24,7,1,4,1.050505051,1,0,774000,3.068819017,0.090960701,-0.27118656,-0.310903189,-1.250793273
admit,28994,2677,0,10,25,34,22,8,1,3.96,1.291313131,2,0,8780656,3.198150091,0.092329447,0.309200601,0.752226939,-0.270716075
grate,32777,3077,1,14,29,28,16,8,3,3.77,1.671687879,2,0,672155,3.884454434,0.093876804,1.512699125,1.092804188,-0.40966302
glory,31509,2893,0,6,30,39,19,5,0,3.83,0.923647475,1,0,13158826,3.277932753,0.091815037,0.118739565,-0.265881897,-1.173959348
saint,34455,3119,1,14,35,29,15,5,1,3.62,1.308686869,2,0,38929141,3.816971175,0.090523872,1.488228808,0.790975053,-0.070694459
recap,31976,2900,0,5,30,35,21,8,1,4,1.131313131,2,0,2861982,3.555334995,0.09069302,0.953220502,0.867016908,-0.34238017
alike,31277,2843,0,6,20,33,27,12,2,4.25,1.320707071,3,0,6220739,3.589669815,0.090897465,1.36479194,1.882705602,0.615412026
trice,35050,3430,0,5,24,25,18,17,11,4.51,2.05040404,2,0,354532,3.905355201,0.0978602,1.515871437,1.217067892,-0.437907871
stick,33102,3038,1,9,36,35,14,4,0,3.61,0.997554545,1,0,22399126,3.070982972,0.091776932,-0.235688888,-0.388145239,-1.079057938
chute,33418,3073,0,11,37,36,12,3,0,3.55,0.890378788,2,0,834005,3.414290453,0.091956431,0.685903255,0.860004425,-0.353443235
parer,37309,4130,0,0,4,11,15,22,48,5.99,1.444343434,2,1,38034,3.344389736,0.110697151,-0.834953664,1.52391146,0.243499307
doubt,33344,3011,1,12,32,34,16,4,0,3.61,1.098564646,2,0,20311261,3.075763213,0.090301104,0.127401555,0.593555171,-0.153058313
thyme,32142,2938,1,5,24,41,23,5,0,3.92,0.969632323,1,0,1007823,3.154293399,0.091406882,-0.121230967,-0.267017509,-1.259439586
alpha,29497,2706,0,3,19,40,28,9,1,4.24,0.992323232,2,1,27832836,2.716045459,0.091738143,-1.751874836,0.610297833,0.641696571
booze,29147,2883,0,1,7,27,38,23,4,4.87,1.023333333,3,1,1178694,2.474003854,0.09891241,-1.948588436,1.864241663,1.338172643
tibia,27887,2675,0,1,14,40,30,12,2,4.4,0.955959596,3,1,620778,2.802737653,0.095922831,-1.33458508,1.904118097,1.321021504
lofty,29237,2777,0,4,19,34,27,13,3,4.35,1.300505051,1,0,1018661,3.044038313,0.094982385,-0.349277869,-0.205338939,-1.270446241
theme,32172,2909,0,8,29,40,18,4,0,3.77,0.924213131,2,1,37219937,3.035304206,0.090420241,-1.151311644,0.64811625,0.696773558
class,31962,3001,0,4,21,32,22,13,7,4.36,1.596266667,1,1,191087771,3.062842895,0.093892748,-1.202902781,-0.976957863,0.996767118
leery,30992,2873,0,3,17,37,28,12,2,4.31,1.119332323,2,1,168700,3.232631546,0.092701342,-0.882703277,0.962140057,0.362040772
taunt,32734,3022,0,4,19,27,21,16,13,4.65,1.967171717,2,1,295148,3.144209641,0.092319912,-1.037852698,0.91732236,0.373519427
whoop,32733,2970,0,1,16,47,29,7,1,4.32,0.792145455,2,1,331753,2.330985218,0.090734122,-2.48307105,0.565878091,0.4584367
inter,32018,2889,0,6,25,36,23,8,1,4.01,1.14050404,2,0,15269346,3.676165584,0.090230495,1.19598713,0.840774094,-0.249360634
gully,31191,2877,0,1,9,27,31,25,7,4.91,1.254444444,1,1,800734,2.510704938,0.092238146,-2.518338371,-0.338087353,-0.498021565
charm,35724,3149,1,12,32,34,16,5,1,3.74,1.264925253,1,0,10554644,3.270679681,0.088148024,0.132160834,-0.36216302,-1.172746833
fungi,31903,2928,0,2,18,41,28,9,1,4.23,0.927445455,2,0,2000715,2.662949446,0.091778203,-0.658224814,0.567107193,-0.273387752
prize,35343,3166,0,5,12,20,32,26,5,4.77,1.552626263,2,0,16204739,3.187230815,0.089579266,0.326145675,0.633902089,-0.192637696
onset,33660,3009,0,4,29,40,21,6,1,4.03,1.001524242,2,0,3858839,3.669268509,0.089393939,1.170372336,0.867659482,-0.337028381
chief,34281,3072,1,6,32,38,18,5,0,3.81,1.003939394,2,0,45699591,3.168504972,0.089612322,0.344830855,0.489242738,0.05003005
gauze,30214,2866,0,2,11,24,31,25,8,4.94,1.434783838,3,0,556178,2.998536033,0.094856689,0.260805435,1.801456573,0.600175628
ruder,31241,2784,0,2,16,33,29,16,4,4.53,1.261717172,2,1,89666,3.035627838,0.089113665,-1.205819865,0.784995605,0.400966208
irony,34716,3046,0,6,29,34,21,8,1,3.95,1.163106061,2,0,2212193,3.42315805,0.087740523,0.739987799,0.735233705,-0.317895352
clown,36737,3175,1,8,29,36,20,6,1,3.91,1.227051515,1,0,3081501,3.082846283,0.08642513,-0.203482393,-0.447323844,-1.206221635
needy,33700,2927,0,2,21,41,26,9,1,4.22,0.961212121,2,1,1636137,2.854722948,0.086854599,-1.508420553,0.64459195,0.443782474
woven,33549,2933,0,2,13,32,32,17,3,4.54,1.153822222,2,0,4248524,2.957514232,0.087424364,-0.088953001,0.541605949,-0.256319749
merit,35888,3123,0,7,33,37,17,5,0,3.76,0.950529293,2,0,6450895,3.678479851,0.087020731,1.211622645,0.790475733,-0.302559283
waste,35617,3186,1,7,19,27,24,17,5,4.37,1.811212121,2,0,41089558,3.585546255,0.089451666,1.086045209,0.662947168,-0.025254935
treat,38245,3249,1,22,32,26,14,5,1,3.52,1.468185859,2,1,19442315,3.533268431,0.084952281,-0.243433898,0.760975898,0.537955157
shrug,33965,2987,0,4,23,36,26,10,1,4.18,1.118787879,1,0,720506,3.082522237,0.087943471,-0.221135878,-0.392549322,-1.234533635
twang,34938,3172,0,3,22,43,25,7,1,4.18,0.951842424,1,0,243118,3.04178891,0.090789398,-0.319166225,-0.32350595,-1.251614843
twice,35815,3173,1,6,28,38,21,6,1,3.97,1.158291919,2,0,19945569,3.397087554,0.088594164,0.717588542,0.666748316,-0.175589457
gruel,35105,3087,0,3,19,39,29,9,1,4.25,0.997474747,2,0,82196,3.531599463,0.087936191,0.929051228,0.791626871,-0.346498591
poker,35376,3180,0,4,17,30,27,17,5,4.51,1.484747475,2,0,129054826,3.291114066,0.089891452,0.710920272,0.151724909,0.718499852
khaki,31652,2968,0,2,17,33,28,16,4,4.51,1.282727273,2,1,1481504,2.398829664,0.093769746,-2.385048211,0.673541171,0.443491448
hunky,35276,3185,0,1,11,33,25,22,7,4.73,1.326637374,1,0,279599,2.626950125,0.090288015,-1.058969483,-0.493994177,-1.209982683
label,34198,3076,0,4,18,32,29,15,2,4.39,1.270606061,2,1,41359857,3.149330757,0.089946781,-0.935388255,0.657845274,0.722897163
glean,37301,3243,0,6,23,37,24,8,1,4.04,1.126448485,2,0,232952,3.544767624,0.086941369,0.961369639,0.767165603,-0.340560504
cling,37654,3312,0,4,20,34,27,13,2,4.31,1.246363636,1,0,946281,3.16048059,0.087958783,-0.081025617,-0.36387992,-1.239985668
patty,36223,3019,0,2,16,39,29,12,1,4.32,0.980783838,1,1,2339693,2.854794085,0.083344836,-1.823031086,-0.4726138,-0.464300159
unfit,35516,3187,0,3,24,38,25,9,1,4.16,1.044848485,2,0,814145,2.986574156,0.089734204,-0.062518207,0.635297368,-0.300835835
smear,36223,3190,0,2,16,39,29,12,2,4.39,1.048383838,2,0,1289528,3.684000264,0.088065594,1.203474789,0.846943554,-0.351486888
alien,38841,3395,3,17,31,29,15,4,0,3.45,1.321691919,3,0,10490554,3.88823253,0.087407636,1.937516892,1.8741325,0.643497171
buggy,37350,3428,0,1,9,29,34,22,5,4.82,1.138989899,1,1,1955438,2.089278882,0.091780455,-3.268335274,-0.515043709,-0.446898622
rhyme,37229,3336,0,4,22,39,25,8,1,4.1,1.032222222,1,0,1530733,3.189912465,0.089607564,-0.041161429,-0.308001974,-1.247744654
youth,38381,3327,1,5,17,31,29,15,3,4.42,1.49390303,2,0,51426255,3.08256163,0.086683515,0.225690633,0.345553679,0.122230193
coyly,34909,3380,0,0,4,17,28,35,15,5.35,1.13260101,1,1,52174,2.692472572,0.096823169,-2.232476904,-0.134005681,-0.548242403
quart,36662,3303,0,5,20,33,27,13,2,4.29,1.298888889,2,0,2002127,3.129311973,0.090093285,0.19259178,0.693700749,-0.306456492
cramp,39250,3369,1,8,26,33,19,10,2,3.96,1.456145455,1,0,402123,3.271695107,0.085834395,0.135496262,-0.380828313,-1.242067363
bluff,37353,3171,0,2,14,42,31,10,1,4.36,0.899393939,1,1,3906671,2.168049989,0.08489278,-3.065201662,-0.693323757,-0.397220962
upset,37791,3213,0,5,30,38,20,6,1,3.95,1.037878788,2,0,5544484,3.397747936,0.085020243,0.723395721,0.631552141,-0.272107635
stomp,40650,3490,0,7,26,32,21,11,2,4.05,1.377247475,1,0,1168038,3.066597331,0.085854859,-0.231206322,-0.460890355,-1.216967713
motto,38384,3285,0,1,11,36,36,14,1,4.5,0.876262626,2,2,1894147,2.354501474,0.085582534,-3.629712737,0.564518858,1.208272283
cinch,39171,3507,0,2,15,24,22,25,13,4.96,1.802440404,1,1,427247,2.639286927,0.08953052,-2.265417558,-0.366138921,-0.49684101
elope,39228,3339,0,4,22,32,26,13,2,4.24,1.275377778,3,1,74984,3.232208589,0.085117773,-0.473640179,1.756310929,1.341188217
power,39813,3401,2,6,19,29,24,15,4,4.25,1.744318182,2,0,226596368,3.300088454,0.085424359,0.938671229,-0.432063603,1.541711377
midge,36769,3111,0,2,18,39,28,10,2,4.28,1.02870303,2,0,308737,3.12471322,0.084609318,0.227792682,0.541719321,-0.287225588
tryst,43099,3665,0,3,26,41,23,6,1,4.06,0.945858586,0,1,205722,3.008587598,0.085036776,-1.911033791,-1.368668617,-1.44076082
aphid,39086,3367,0,6,24,36,23,9,2,4.11,1.25040404,2,0,295138,2.983258322,0.086143376,-0.038964637,0.53289641,-0.283393643
trite,42237,3685,0,4,14,22,22,23,15,4.91,1.981717172,2,1,287494,3.512142527,0.08724578,-0.33489253,0.909201913,0.369654096
angry,39667,3358,0,5,27,38,21,7,1,3.97,1.062112121,1,0,9267505,3.232293511,0.084654751,0.090611736,-0.471316282,-1.158923279
flock,42574,3548,0,4,22,37,27,9,1,4.18,1.078383838,1,0,2585098,2.781144968,0.083337248,-0.719378788,-0.647422679,-1.164005484
wacky,39611,3345,0,3,18,39,27,10,2,4.25,1.077651515,1,0,1861879,2.624174643,0.08444624,-1.011629601,-0.671003528,-1.162009985
roomy,38769,3280,0,2,17,41,28,10,2,4.33,1.011212121,2,1,574188,2.752079795,0.084603678,-1.675356103,0.546081017,0.457990531
wedge,39234,3353,0,2,11,32,37,17,2,4.66,1.052076768,2,1,3162851,2.661945774,0.085461589,-1.839690684,0.524806093,0.48237847
liver,40549,3388,0,4,16,26,25,20,8,4.61,1.68220101,2,0,12139363,3.374030341,0.083553232,0.705033655,0.549333813,-0.207264888
bland,46246,3727,0,7,31,38,18,4,0,3.73,0.907921212,1,0,1606490,3.26892202,0.080590754,0.177098901,-0.538805301,-1.200745614
night,46910,3870,1,8,27,27,17,13,7,4.18,1.987474747,1,0,130531484,3.003442443,0.082498401,-0.08554677,-1.18924724,-0.133542607
madam,40545,3430,0,3,13,35,34,14,2,4.53,1.105362626,2,2,2023575,2.195565537,0.084597361,-3.906225628,0.475777807,1.229888324
berth,41785,3494,0,7,24,35,24,9,1,4.07,1.217272727,1,0,1056010,3.399568444,0.083618523,0.384809761,-0.399786231,-1.235349826
stead,47094,3933,1,6,20,27,28,16,3,4.38,1.623680808,2,0,724786,3.600942518,0.083513823,1.092052246,0.687076216,-0.321325858
voice,42806,3484,1,5,24,35,25,9,1,4.09,1.234242424,3,0,64600528,3.331793861,0.081390459,1.086805542,1.237260602,1.173133457
agape,43407,3671,0,2,18,36,27,15,3,4.48,1.222529293,3,1,414471,2.980208606,0.084571613,-0.920432198,1.644284721,1.370510916
fluff,47344,4049,0,0,4,25,44,23,4,4.98,0.807676768,1,3,814535,1.778469987,0.085522981,-6.245377414,-0.51544238,1.026891485
field,44578,3604,1,6,25,36,23,9,1,4.08,1.272791919,2,0,135289140,3.226777762,0.080847055,0.68326136,-0.162663573,0.829263349
