Word,Number of reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),mu,sigma,vowel,overlap,freq,initentropy,ratio,y1,y2,y3
sever,42645,3591,0,2,13,27,29,21,7,4.71,1.418241414,2,1,686306,3.100022571,0.084206824,-1.047671689,0.664824969,0.429105132
lilac,40486,3461,0,2,17,38,29,12,1,4.31,0.998120202,2,1,1738684,2.968288406,0.085486341,-1.292936268,0.647302326,0.442268767
egret,41765,3515,0,3,14,33,33,15,2,4.49,1.141313131,2,1,394773,3.213371618,0.084161379,-0.844486351,0.707468113,0.416513995
pinto,47248,3792,0,5,25,41,22,6,1,4.02,1.00969697,2,0,1108872,3.293857899,0.080257365,0.569496827,0.475954704,-0.270410018
hutch,44212,3758,0,1,12,28,28,21,9,4.79,1.410564646,1,1,1373107,2.516207449,0.084999548,-2.446113643,-0.547539488,-0.450754254
gawky,45645,3957,0,1,5,22,33,28,10,5.08,1.187410101,1,0,31136,2.52718015,0.086690766,-1.207893955,-0.634088671,-1.181373964
droll,47312,3844,0,2,16,31,31,17,3,4.54,1.220606061,1,1,196087,3.066920368,0.081247886,-1.428581266,-0.443343938,-0.488949964
retro,47986,3848,0,6,24,35,24,9,1,4.05,1.175227273,2,1,8000179,3.300042011,0.080190055,-0.64181973,0.589725722,0.49432366
rusty,50450,3954,0,9,37,34,13,5,1,3.67,1.077182828,1,0,2780895,3.274163839,0.078374628,0.207371872,-0.606287977,-1.17843471
beady,46089,3670,0,3,19,39,29,10,1,4.31,1.029960606,2,0,87974,3.225001753,0.079628545,0.4494953,0.436741307,-0.268647246
smite,50617,3991,0,6,23,35,24,11,2,4.21,1.31630404,2,0,270393,3.622449649,0.078847028,1.169364094,0.562656354,-0.299244115
brink,53111,4118,0,4,22,41,24,7,1,4.07,0.989344444,1,0,1484879,3.030620563,0.077535727,-0.224684643,-0.715898295,-1.161521836
awful,47645,3861,0,5,21,33,27,12,2,4.26,1.285252525,2,0,5217370,2.75737023,0.081036835,-0.392111392,0.277583957,-0.191867601
gloat,53342,4194,0,8,21,31,26,12,2,4.19,1.428181818,2,0,113594,3.562640528,0.078624723,1.063685813,0.534509772,-0.293673558
input,50484,3950,0,5,30,38,21,6,1,4,1.050505051,2,0,57191675,3.088138162,0.078242612,0.317488728,0.077044542,0.219104308
loser,55359,4399,1,10,28,32,19,8,2,3.9,1.464646465,2,0,2529180,3.787753784,0.079463141,1.464682473,0.631921961,-0.299726854
cacao,47205,4101,0,1,9,27,36,23,4,4.83,1.092020202,3,2,331714,2.527767626,0.08687639,-2.986932977,1.686953713,2.106502335
blown,54665,4251,0,6,23,35,26,10,1,4.18,1.214468687,1,0,4229918,2.890788307,0.077764566,-0.472556435,-0.774727659,-1.127515898
apron,53430,4112,0,7,30,38,19,5,1,3.88,1.056161616,2,0,1617357,3.484663117,0.076960509,0.940594729,0.450137143,-0.264262924
primo,55989,4391,0,3,22,38,25,10,2,4.23,1.128383838,2,0,912120,3.215278547,0.078426119,0.443711299,0.394526789,-0.253851741
atone,59968,4762,2,16,34,29,14,4,1,3.53,1.342525253,3,0,152901,3.85217788,0.079409018,1.922198594,1.678400771,0.609936788
donor,53802,4142,0,3,27,38,23,7,1,4.03,0.996657576,2,1,7096675,3.013205151,0.076985986,-1.130793923,0.393772135,0.532529214
float,56684,4323,1,12,30,32,18,6,1,3.76,1.335757576,2,0,8808655,3.450665354,0.076264907,0.898318967,0.383509215,-0.198186613
goose,51958,4087,0,2,12,28,32,21,5,4.73,1.29,3,1,3739382,3.111413579,0.078659687,-0.629065542,1.507399578,1.420762539
piety,55376,4324,0,4,25,41,22,7,1,4.06,1.006464646,2,0,595389,3.348262059,0.078084369,0.684581717,0.4361166,-0.26669983
girth,60020,4665,0,6,23,33,23,12,3,4.21,1.42010101,1,0,492919,3.268882692,0.077724092,0.199334222,-0.616289963,-1.192778616
trait,61026,4607,0,6,22,35,24,11,2,4.18,1.300606061,2,1,1705417,3.446520961,0.075492413,-0.35048497,0.538807251,0.45728872
flood,58991,4440,0,3,20,40,28,8,1,4.21,0.975656566,2,1,13979267,2.610151832,0.075265718,-1.826930461,0.16038178,0.636298783
gloom,58478,4548,0,2,14,35,35,13,1,4.46,0.978181818,2,1,878018,2.623536498,0.077772838,-1.847509447,0.29929411,0.513026265
depth,56738,4329,0,6,28,39,20,6,1,3.95,1.058080808,1,0,31879926,3.163955518,0.076298072,0.079130524,-0.84431829,-0.917986053
froth,58263,4432,0,5,22,35,25,11,1,4.14,1.180812121,1,0,278469,3.241114534,0.07606886,0.163168265,-0.673467378,-1.182110091
peach,65431,4957,1,13,38,32,13,3,0,3.52,1.01979798,2,0,3938068,3.420555515,0.075759197,0.839915957,0.380491489,-0.23221153
showy,61278,4770,0,2,16,37,30,13,2,4.42,1.074343434,1,0,294798,2.87602814,0.077841966,-0.506700006,-0.759551339,-1.158783595
creak,63241,4797,0,5,21,32,25,14,3,4.31,1.407979798,2,0,124122,3.479129606,0.075852691,0.937395175,0.423113984,-0.269363613
manor,62768,4802,0,6,27,34,21,10,2,4.08,1.306666667,2,0,7084688,3.543789312,0.076503951,1.060262666,0.433491412,-0.222312638
atoll,60969,4741,0,6,28,36,21,8,1,4,1.151515152,2,1,908471,3.189394111,0.077760829,-0.832346946,0.511393502,0.461037323
bayou,56839,4435,0,6,17,33,29,13,2,4.32,1.310707071,3,0,1397958,2.984265797,0.078027411,0.379307463,1.306623538,0.708573518
crept,60069,4562,0,4,27,38,22,7,1,4,1.03030303,1,0,588735,3.578772581,0.075945995,0.770435935,-0.551613848,-1.210056047
tiara,63846,4842,0,8,36,33,17,6,1,3.84,1.153389899,3,1,923335,3.35928562,0.075838737,-0.16556032,1.532371199,1.391621288
asset,63188,4733,0,7,28,34,21,8,1,3.94,1.193094949,2,1,18178753,3.309554705,0.074903463,-0.56182506,0.392961128,0.608133514
vouch,62723,4835,0,2,9,25,33,24,6,4.82,1.267955556,2,0,388963,2.763833525,0.077084961,-0.355635879,0.188688115,-0.208411107
album,63380,4809,0,5,26,35,24,9,1,4.09,1.153434343,2,0,77914316,2.969164729,0.075875671,0.161060204,-0.133300829,0.413611406
hinge,66431,4906,0,5,25,37,22,9,2,4.11,1.21,2,0,1758893,3.302961654,0.073851064,0.641267345,0.291502093,-0.22779607
money,67909,4928,1,7,26,36,21,8,1,3.97,1.261717172,2,0,190205072,3.314866857,0.072567701,1.00927515,-0.626440134,1.319375176
scrap,66814,4973,1,9,28,34,20,8,1,3.94,1.345086869,1,0,3757085,3.400627308,0.074430509,0.469374647,-0.677148992,-1.158662375
gamer,69884,5238,1,4,17,28,26,18,6,4.52,1.686464646,2,0,3144985,3.490540836,0.074952779,0.970871928,0.387245924,-0.240363781
glass,70920,5162,0,4,19,33,27,14,3,4.37,1.326363636,1,1,63559754,2.922750256,0.072786238,-1.502585143,-1.039328443,0.092781836
scour,73933,5544,0,8,34,35,17,5,1,3.8,1.090909091,2,0,411478,3.429656844,0.074986812,0.856502324,0.378197087,-0.257285754
being,70722,5142,0,4,22,37,26,10,1,4.19,1.104949495,2,0,242783091,3.154247842,0.07270722,0.813667732,-0.929789732,1.763241177
delve,68349,5179,0,2,14,32,33,16,2,4.49,1.099291919,2,1,640909,2.860069633,0.075772872,-1.406704588,0.331573971,0.501129267
yield,67115,4963,0,4,16,29,29,18,4,4.53,1.423333333,2,0,15022494,3.304765369,0.073947702,0.667317362,0.232650348,-0.120102351
metal,73225,5290,1,10,31,34,18,7,1,3.89,1.333880808,2,0,56181783,3.634484474,0.072243086,1.346533103,0.113964531,0.196061753
tipsy,77585,5522,0,6,33,38,17,5,1,3.85,1.017676768,1,0,279464,3.20944184,0.071173552,0.147836538,-0.826598621,-1.15002876
slung,75673,5419,0,2,16,37,31,13,2,4.47,1.079706061,1,0,253265,3.141332641,0.071610746,0.021914583,-0.839450857,-1.146549681
farce,79446,5688,0,9,26,32,21,9,1,3.9,1.298787879,2,0,727546,3.646567518,0.071595801,1.274881807,0.360374891,-0.254564442
gecko,74412,5489,0,2,16,38,29,12,2,4.35,1.048762626,2,0,1230211,2.891948904,0.073764984,-0.096198972,0.137087925,-0.193610654
shine,88932,6146,1,14,32,30,17,6,1,3.73,1.390130303,2,0,5881862,3.655047687,0.069108982,1.32034874,0.267600366,-0.198403734
canny,72518,5256,0,2,10,30,34,20,4,4.72,1.173333333,1,1,209480,2.860074937,0.072478557,-1.72528111,-0.774108354,-0.417509002
midst,74458,5233,0,3,25,39,24,9,1,4.18,1.052852525,1,0,3381410,3.204553377,0.070281232,0.152155881,-0.868752299,-1.118904452
badge,76292,5482,0,4,20,35,26,12,2,4.24,1.214771717,2,0,6145138,3.251778071,0.071855503,0.574181345,0.194093543,-0.175324016
homer,85979,6313,0,3,16,26,24,19,12,4.76,1.80040404,2,0,4281428,3.417274739,0.073424906,0.854422,0.310302485,-0.215203414
train,107750,7243,6,26,32,22,10,3,0,3.1,1.387777778,2,0,31816971,3.84750256,0.067220418,1.727778696,0.163567363,0.007080204
hairy,85817,5941,1,8,24,33,23,10,1,4.03,1.382929293,2,0,19060619,3.455681257,0.069228708,0.985203217,0.134235048,-0.072944399
story,95643,6530,1,10,23,29,24,11,2,4.06,1.592323232,1,0,138433809,3.479929422,0.06827473,0.903753094,-1.457708599,-0.028301607
forgo,77658,5699,0,1,9,26,37,23,3,4.77,1.039970707,2,1,340426,2.57919651,0.073385871,-1.890830109,0.158599732,0.538848888
larva,77991,5749,0,2,10,25,35,23,4,4.75,1.193813131,2,1,462298,2.835660075,0.073713634,-1.433358941,0.26383459,0.514185652
zesty,88974,6315,0,2,12,27,30,22,7,4.79,1.39989899,1,0,210124,2.876697943,0.070975791,-0.447470334,-0.956987808,-1.118658487
shown,98967,6564,0,6,26,36,22,8,1,3.99,1.142120202,1,0,68755779,3.00510098,0.066325139,-0.055604683,-1.364969862,-0.542448636
heist,103153,6830,1,13,32,31,16,6,1,3.7,1.343434343,2,0,419629,3.670190788,0.066212325,1.362323117,0.215385938,-0.227213897
askew,91548,6549,0,3,13,29,32,19,4,4.63,1.306161616,2,0,473664,2.973105955,0.071536243,0.066913132,0.106834491,-0.194028842
inert,97452,6743,0,7,27,34,22,9,1,4.02,1.231919192,2,0,935898,3.700744532,0.069193039,1.392792313,0.310431357,-0.243563973
olive,95562,6482,1,6,25,34,23,10,1,4.06,1.309494949,3,0,9298184,3.331501801,0.067830309,1.102641505,1.105777947,0.801772608
plant,119232,7731,2,19,39,28,10,3,0,3.37,1.117847475,1,0,53247607,3.59162347,0.064839976,0.981420733,-1.114600355,-0.714612295
oxide,97955,6960,0,2,11,30,33,21,4,4.76,1.221187879,3,0,5321340,2.928646057,0.071053035,0.345626309,1.066086571,0.787314015
cargo,102007,6796,0,5,20,34,27,12,2,4.27,1.26979798,2,0,9748668,3.428134953,0.066622879,0.941279718,0.09246016,-0.131012897
foyer,108899,8198,0,2,10,19,19,23,26,5.25,1.971590909,2,0,1042532,3.297315805,0.075280765,0.617749408,0.333992922,-0.241642759
flair,112383,7341,1,8,30,36,18,6,1,3.84,1.206464646,2,0,1924190,3.498243883,0.065321267,1.064124602,0.118011038,-0.193713099
ample,106681,7008,0,4,20,35,27,11,2,4.23,1.190071717,2,0,3187842,3.433552541,0.065691173,0.947201866,0.098441439,-0.179604258
cheek,107987,7035,0,3,19,40,28,9,1,4.24,0.992323232,2,1,2681029,2.756803836,0.065146731,-1.498263991,-0.023366747,0.590619375
shame,129991,8522,1,11,22,25,21,15,5,4.19,1.993838384,2,0,6785296,3.558819168,0.065558385,1.179433936,0.12477022,-0.160982881
mince,113448,7356,0,6,24,35,24,10,1,4.11,1.21,2,0,328039,3.42234217,0.064840279,0.929207471,0.083118305,-0.196882114
chunk,123255,7835,1,4,29,42,18,5,1,3.91,1.012020202,1,0,2371231,2.733881787,0.063567401,-0.637022509,-1.234525161,-1.043680699
royal,114907,7275,1,5,24,36,23,9,1,4.03,1.218879798,2,0,45407189,3.549933229,0.06331207,1.251346015,-0.12483338,0.168963575
squad,109828,7236,0,3,20,33,27,14,2,4.31,1.220342424,2,0,8744772,2.743920658,0.065884838,-0.281564071,-0.181170041,-0.071575485
black,126241,7894,1,10,31,34,18,6,1,3.83,1.280594949,1,0,244690155,2.991266541,0.06253119,0.265211716,-2.306226411,0.919759841
stair,134210,8537,2,21,36,26,11,4,1,3.42,1.374307071,2,0,2012524,3.822337011,0.063609269,1.660129952,0.189965293,-0.21275822
scare,141158,9010,1,12,23,26,21,13,4,4.09,1.900909091,2,0,2972708,3.902757918,0.063829184,1.804232346,0.222012033,-0.213651928
foray,117761,7575,0,2,14,31,31,19,4,4.67,1.271908081,2,0,499808,3.283497756,0.064325201,0.68482592,0.015288592,-0.179576044
comma,117856,7560,0,2,13,33,33,17,3,4.63,1.159059596,2,1,2711522,2.65123509,0.064146077,-1.679094652,-0.092039888,0.606585341
natal,121356,7702,0,2,14,32,32,17,3,4.57,1.176868687,2,1,3010028,3.175217938,0.063466166,-0.732908013,0.083799362,0.564635368
shawl,129651,7943,0,3,16,31,30,16,3,4.45,1.26209596,1,0,1011728,3.200589406,0.061264472,0.217224764,-1.119237198,-1.084227961
fewer,124532,7931,0,2,10,24,32,26,6,4.88,1.318787879,2,1,10792786,2.784033122,0.063686442,-1.422594287,-0.093377604,0.663113584
trope,155079,9315,1,16,33,28,15,6,1,3.62,1.40969697,2,0,109419,3.762310618,0.06006616,1.579088457,0.074138237,-0.201673271
snout,144648,8913,1,4,19,27,26,18,5,4.47,1.665757576,2,0,258314,3.481049904,0.06161855,1.06168881,0.012556627,-0.183697981
lowly,135219,8469,0,2,9,26,32,24,8,4.95,1.366186869,1,1,543486,2.509029048,0.062631731,-2.270939148,-1.191639564,-0.323701493
stove,158139,9318,0,5,16,24,27,21,6,4.57,1.652778788,2,0,3914849,3.352679442,0.058922846,0.860781225,-0.130620866,-0.125887811
shall,149070,8494,0,3,17,30,28,17,4,4.47,1.362920202,1,1,191963867,3.096484105,0.056979942,-0.828224961,-2.033352514,1.220588167
found,173696,10613,1,6,17,22,20,21,14,4.76,2.31209697,2,0,232005894,2.932440425,0.061101004,0.494940639,-1.29731991,1.764737438
nymph,165468,9935,1,2,18,44,26,26,9,5.84,3.820056566,0,0,697326,2.533964223,0.060041821,-1.314464762,-2.416151444,-1.952618463
epoxy,149507,9376,0,2,13,31,33,18,3,4.61,1.16959596,2,0,1908076,2.629478011,0.062712783,-0.472149518,-0.283556334,-0.098003594
depot,150197,8562,0,5,29,36,20,7,1,3.9,1.076565657,2,0,9688338,3.39755089,0.057005133,0.967806035,-0.196214093,-0.071417495
chest,169066,9318,1,14,35,31,14,5,1,3.65,1.293661616,1,0,13516414,3.437705047,0.055114571,0.716941772,-1.266327889,-0.967301442
purge,156785,8555,1,4,22,35,26,11,2,4.25,1.321338384,2,0,1366135,3.345377176,0.054565169,0.880065283,-0.247106414,-0.120105254
slosh,160161,8807,0,2,19,36,27,13,2,4.32,1.12219798,1,1,51634,2.911015855,0.054988418,-1.485988139,-1.258810909,-0.319377213
their,173636,9200,2,14,36,30,13,4,0,3.47,1.160293939,2,0,782849411,3.692754498,0.052984404,2.909035528,-3.83390362,6.24616573
renew,154987,8417,0,4,20,33,27,13,2,4.27,1.247243434,2,1,6561081,3.07387489,0.054307781,-0.830762988,-0.235173845,0.657561673
allow,156311,8515,0,5,21,32,26,14,3,4.36,1.414642424,2,1,67052567,2.774023858,0.054474733,-1.262249702,-0.627220975,1.178831429
saute,179830,9304,1,8,31,34,19,6,1,3.84,1.226666667,3,0,546457,3.89562641,0.051737752,2.23530224,0.894571927,0.773884715
movie,169071,8847,1,5,18,30,26,16,3,4.32,1.526238384,3,0,158421100,3.151792306,0.052327129,1.17736201,-0.109632346,2.129832924
cater,217856,11234,1,7,19,22,19,18,15,4.68,2.441034343,2,0,2092828,3.914004511,0.051566172,1.926746164,-0.123410858,-0.14887448
tease,202855,10024,1,16,32,30,16,6,1,3.72,1.432694949,3,1,2019275,3.675582116,0.049414606,0.627648263,0.883728714,1.528663622
smelt,185406,9373,0,5,19,33,28,13,2,4.31,1.286767677,1,0,301053,3.536798202,0.05055392,0.909786236,-1.298581203,-1.05735048
focus,179436,8937,1,4,23,36,24,10,1,4.09,1.206685859,2,0,65626732,2.885079431,0.049806059,0.209233304,-0.85925558,0.476139169
today,192049,9353,1,7,29,35,20,7,1,3.91,1.234242424,2,0,239271204,3.371586797,0.048701113,1.400672362,-1.524201751,1.857364151
watch,226349,12400,1,6,14,18,17,24,20,4.96,2.503434343,1,0,92006970,3.052920083,0.054782659,0.169403162,-1.789242475,-0.288059696
lapse,208884,9960,0,8,31,34,19,7,1,3.89,1.18979798,2,0,1459542,3.765419388,0.047681967,1.692005346,-0.288315382,-0.117190799
month,201799,9435,1,5,26,37,22,8,1,4.02,1.191515152,1,0,123027963,3.16086644,0.046754444,0.486331266,-2.126046208,0.003369548
sweet,207473,9767,1,5,18,31,28,15,2,4.33,1.435454545,2,1,32311923,3.140882466,0.047076005,-0.603407736,-0.539619975,0.904947814
hoard,218595,9823,1,9,30,34,19,7,1,3.89,1.302243434,2,0,433375,3.492899058,0.044936984,1.22460288,-0.465069611,-0.084044797
cloth,218595,9911,1,8,33,34,17,7,1,3.86,1.262016162,1,0,9764137,3.350159226,0.045339555,0.636047179,-1.563593315,-0.931687302
brine,229895,10405,1,9,25,29,22,12,3,4.13,1.680473737,2,0,816003,3.643088104,0.045259793,1.491950843,-0.40112943,-0.096722439
ahead,203730,9396,1,5,20,35,26,12,2,4.27,1.373160606,3,1,28375319,3.000156452,0.046119865,-0.509016581,0.411093529,1.826190094
mourn,240018,10465,1,8,29,34,19,8,1,3.9,1.303030303,2,0,779010,3.301965549,0.043600897,0.894053018,-0.576971463,-0.055613982
nasty,257304,10813,1,7,26,31,21,11,2,4.02,1.472723232,1,0,7434847,3.39018935,0.04202422,0.731792571,-1.633256256,-0.934692201
rupee,240137,10577,1,2,17,35,30,13,2,4.38,1.207676768,3,1,2831536,3.220350677,0.044045691,-0.141982962,0.553994308,1.609352049
choke,251094,10521,1,8,30,36,18,6,1,3.84,1.206464646,2,0,1448146,3.160581114,0.041900643,0.656043869,-0.682284035,-0.026950706
chant,250413,10438,1,9,33,33,16,7,1,3.79,1.278686869,1,0,1374428,3.476459876,0.041683139,0.878631691,-1.582210912,-0.990183192
spill,248363,10087,1,5,26,34,22,10,2,4.09,1.355454545,1,1,3890646,2.921082543,0.04061394,-1.339291461,-1.687763006,-0.203340583
vivid,255907,11687,1,2,10,29,33,21,4,4.7,1.323232323,2,2,4479514,1.751581819,0.045668934,-4.36839306,-0.825629757,1.52277867
bloke,250674,10405,1,6,21,32,25,12,2,4.15,1.429570707,2,0,766763,3.215885722,0.041508094,0.757358524,-0.669629927,-0.035296695
trove,277576,11411,1,5,16,24,25,22,8,4.68,1.915781818,2,0,702353,3.544931362,0.041109462,1.350846743,-0.557207402,-0.0638678
thorn,306356,11814,1,14,38,30,12,4,0,3.47,1.079485859,1,0,1421673,3.499339862,0.038562979,0.946194842,-1.663852186,-0.973335476
other,278731,10887,1,9,26,30,21,10,2,3.96,1.516751515,2,0,978481319,3.497396109,0.039059165,3.025186489,-5.228186847,7.946509674
tacit,273306,11094,1,4,21,32,26,14,3,4.35,1.471439394,2,1,594255,3.15096913,0.040591864,-0.586888198,-0.573873473,0.683314137
swill,282327,11241,1,1,8,19,31,30,10,5.08,1.468282828,1,1,92032,2.773053918,0.039815533,-1.604820988,-1.748562734,-0.215958279
dodge,265238,10220,1,3,15,29,27,19,7,4.66,1.658137374,2,1,14768509,2.808520734,0.038531432,-1.15843993,-0.828567487,0.843119032
shake,342003,12767,1,6,16,23,24,21,9,4.62,2.015757576,2,0,6839319,3.437486784,0.037330082,1.201076941,-0.735440717,0.018738448
caulk,289721,10740,1,4,20,31,26,15,3,4.34,1.479191919,2,0,245944,3.171782343,0.037070147,0.714924135,-0.811784967,-0.009055298
aroma,287836,10343,1,6,25,33,22,11,2,4.1,1.424242424,3,1,2018777,3.026430404,0.035933657,-0.422539828,0.250930012,1.668930666
cynic,261521,10343,1,6,25,33,22,11,2,4.1,1.424242424,1,1,525906,2.554870224,0.039549405,-1.993159686,-1.840249061,-0.190657225
robin,277471,3249,1,6,29,34,21,8,1,3.96,1.250909091,2,0,11423944,3.330480999,0.011709332,1.234396467,-1.53632902,0.21865043
ultra,269885,9310,1,7,23,34,24,10,1,4.07,1.338484848,2,0,21795075,3.51224353,0.034496174,1.385832871,-0.859379754,0.150969956
ulcer,278826,10631,1,4,18,30,28,16,3,4.4,1.474747475,2,0,1336605,3.522948759,0.038127721,1.337810754,-0.654467906,-0.038897931
pause,304830,13480,1,8,26,32,21,10,2,4.02,1.474343434,3,0,4606318,3.663738405,0.044221369,1.89027584,0.571534272,0.873262661
humor,305372,13846,1,5,22,34,25,11,2,4.18,1.361212121,2,0,18085495,3.132511922,0.04534142,0.60618497,-0.671733112,0.091176368
frame,336236,15369,1,10,20,24,24,17,3,4.2,1.842020202,2,0,46079991,3.508568625,0.045708966,1.327503311,-0.651376184,0.283091814
elder,288228,13340,1,3,13,24,30,24,5,4.71,1.561515152,2,1,7299470,3.241846115,0.046282804,-0.46015115,-0.407054241,0.695849071
skill,311018,13716,1,3,17,33,27,16,3,4.42,1.397575758,1,1,15835076,2.753049234,0.044100341,-1.6489594,-1.70643035,-0.110913173
aloft,319698,13708,1,4,22,36,25,11,2,4.24,1.315329293,2,0,497342,3.415182502,0.042877966,1.102759525,-0.55396945,-0.064078696
pleat,359679,14813,1,10,28,31,19,9,2,3.92,1.508686869,2,0,266830,3.719667919,0.041183945,1.662873111,-0.487364995,-0.084024964
shard,358176,14609,1,7,22,28,25,14,4,4.3,1.712020202,1,0,287428,3.460863606,0.040787211,0.85631051,-1.608810299,-0.992294034
moist,361908,14205,3,13,32,29,16,7,1,3.7,1.542323232,2,0,2140516,3.4800892,0.039250307,1.252851901,-0.641960949,-0.03504711
those,351663,13606,1,13,34,30,15,6,1,3.67,1.334444444,2,0,270014141,3.66795135,0.038690451,2.071877801,-1.846104285,2.140905208
light,341314,13347,1,10,25,27,19,12,5,4.06,1.870266667,1,0,126699632,3.10231188,0.039104754,0.452659404,-2.385985619,0.084344112
wrung,294687,11524,0,2,18,39,27,12,2,4.35,1.078282828,1,0,121159,2.851915956,0.039105899,-0.222038701,-1.885311736,-0.927350532
could,313220,11592,1,7,29,35,20,8,1,3.97,1.27950404,2,0,302311431,3.260879848,0.037009131,1.413488238,-2.199288353,2.45259076
perky,296968,11148,1,4,17,30,27,17,4,4.45,1.542929293,1,0,1360009,3.06169952,0.037539398,0.169741174,-1.857510853,-0.927288838
mount,331844,11451,1,9,29,33,19,7,1,3.82,1.294622222,2,0,36648260,3.281421543,0.034507178,0.998168752,-1.015566382,0.293673618
whack,302348,10163,1,4,22,37,24,10,2,4.17,1.273838384,1,0,725891,2.655870045,0.033613584,-0.526080341,-2.120256853,-0.871583868
sugar,276404,8708,1,6,25,34,23,9,1,4,1.272727273,2,0,22450333,3.455109227,0.031504609,1.309864229,-0.970228629,0.179419566
knoll,258038,8317,1,1,11,29,33,21,4,4.71,1.278686869,1,1,965905,2.662992033,0.032231687,-1.736427164,-2.012808444,-0.153487477
crimp,269929,7630,1,5,28,38,20,7,1,3.96,1.14989899,1,0,640746,3.130806242,0.028266692,0.37099,-2.095681788,-0.884350461
wince,241489,6850,1,3,17,33,29,15,3,4.46,1.381127273,2,0,717079,3.300027802,0.028365681,1.019559229,-1.016937349,0.034765024
prick,273727,7409,1,8,30,33,19,7,1,3.83,1.267081818,1,0,891337,3.047532255,0.027067114,0.232228257,-2.162751904,-0.867461746
robot,243964,6589,1,8,29,34,20,8,1,3.95,1.316691919,2,1,12656312,2.962649898,0.027008083,-0.788093808,-1.093181533,0.880209546
point,280622,7094,1,16,37,28,12,4,1,3.47,1.24110202,2,0,175527859,3.477420832,0.025279558,1.675390026,-1.860651492,1.465895826
proxy,220950,6206,1,2,11,24,31,26,6,4.87,1.505322222,1,0,10773043,2.761212384,0.028087803,-0.272398803,-2.287301911,-0.766283134
shire,222197,5640,1,8,32,32,18,8,2,3.93,1.413685859,2,0,2665081,3.777537149,0.025382881,1.904836236,-0.932745103,0.024307302
solar,209609,4955,1,9,32,32,18,7,1,3.82,1.300606061,2,0,20423792,3.837424331,0.023639252,2.058676034,-1.043985825,0.174337576
panic,205880,4655,1,9,35,34,16,5,1,3.77,1.191140404,2,0,6396440,3.290670153,0.022610258,1.061660961,-1.213177977,0.116327533
tangy,169484,3985,1,4,21,30,24,15,5,4.37,1.629393939,1,0,333638,3.260254427,0.023512544,0.642923601,-2.18276101,-0.870522885
abbey,132726,3345,1,2,13,29,31,20,3,4.56,1.331781818,2,1,4224864,2.726054287,0.025202296,-1.21220936,-1.194550944,0.843901408
favor,137586,3073,1,4,15,26,29,21,4,4.57,1.580909091,2,0,11867822,3.070554373,0.022335121,0.678908891,-1.329518175,0.183044691
drink,153880,3017,1,9,35,34,16,5,1,3.77,1.191140404,1,0,29254937,3.129299416,0.019606187,0.492655645,-2.480539568,-0.598715266
query,107134,2242,1,4,16,30,30,17,2,4.43,1.399090909,2,0,31284313,2.831414958,0.020927063,0.29648054,-1.551208996,0.372272983
gorge,91477,1913,1,3,13,27,30,22,4,4.64,1.485252525,2,1,1950264,3.079512923,0.02091236,-0.545896388,-1.174834624,0.818171946
crank,101503,1763,1,5,23,31,24,14,2,4.22,1.466262626,1,0,2185208,3.349249774,0.017368945,0.857914578,-2.335265379,-0.827035191
slump,80630,1362,1,3,23,39,24,9,1,4.13,1.124343434,1,0,878659,3.009551653,0.016891976,0.250294891,-2.470509373,-0.803474456
